Date,Category,RefNo,Date2,Withdrawal,Deposit,Balance,Transaction_Date,Amount,Transaction_Type,Year,Month,Month_Name,Day,Day_Name,Week_Number,Year_Month,Is_Salary_Month
1/1/2023,Rent,3.00E+11,1/1/2023,3950.0,0.0,1837.23,2023-01-01,3950.0,Debit,2023,1,January,1,Sunday,52,2023-01,Regular Month
3/1/2023,Misc,3.00E+11,3/1/2023,105.0,0.0,1732.23,2023-03-01,105.0,Debit,2023,3,March,1,Wednesday,9,2023-03,Regular Month
3/1/2023,Misc,3.37E+11,3/1/2023,0.0,55.0,1787.23,2023-03-01,55.0,Credit,2023,3,March,1,Wednesday,9,2023-03,Regular Month
3/1/2023,Food,3.00E+11,3/1/2023,56.0,0.0,1731.23,2023-03-01,56.0,Debit,2023,3,March,1,Wednesday,9,2023-03,Regular Month
3/1/2023,Misc,3.37E+11,3/1/2023,1.0,0.0,1730.23,2023-03-01,1.0,Debit,2023,3,March,1,Wednesday,9,2023-03,Regular Month
3/1/2023,Food,3.00E+11,3/1/2023,30.0,0.0,1700.23,2023-03-01,30.0,Debit,2023,3,March,1,Wednesday,9,2023-03,Regular Month
4/1/2023,Misc,3.00E+11,4/1/2023,500.0,0.0,1200.23,2023-04-01,500.0,Debit,2023,4,April,1,Saturday,13,2023-04,Regular Month
4/1/2023,Misc,3.00E+11,4/1/2023,1.0,0.0,1199.23,2023-04-01,1.0,Debit,2023,4,April,1,Saturday,13,2023-04,Regular Month
4/1/2023,Misc,3.00E+11,4/1/2023,500.0,0.0,699.23,2023-04-01,500.0,Debit,2023,4,April,1,Saturday,13,2023-04,Regular Month
10/1/2023,Food,3.01E+11,10/1/2023,28.0,0.0,671.23,2023-10-01,28.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Misc,3.01E+11,10/1/2023,149.0,0.0,522.23,2023-10-01,149.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Food,3.01E+11,10/1/2023,10.0,0.0,512.23,2023-10-01,10.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Misc,3.38E+11,10/1/2023,0.0,1289.0,1801.23,2023-10-01,1289.0,Credit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Food,3.01E+11,10/1/2023,51.0,0.0,1750.23,2023-10-01,51.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Misc,3.38E+11,10/1/2023,110.0,0.0,1640.23,2023-10-01,110.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Food,3.38E+11,10/1/2023,40.0,0.0,1600.23,2023-10-01,40.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Food,3.01E+11,10/1/2023,20.0,0.0,1580.23,2023-10-01,20.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Food,3.38E+11,10/1/2023,131.5,0.0,1448.73,2023-10-01,131.5,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
10/1/2023,Food,3.38E+11,11/1/2023,27.0,0.0,1421.73,2023-10-01,27.0,Debit,2023,10,October,1,Sunday,39,2023-10,Regular Month
11/1/2023,Food,3.01E+11,11/1/2023,50.0,0.0,1371.73,2023-11-01,50.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.38E+11,11/1/2023,33.0,0.0,1338.73,2023-11-01,33.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Misc,3.38E+11,11/1/2023,0.0,33.0,1371.73,2023-11-01,33.0,Credit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.01E+11,11/1/2023,33.0,0.0,1338.73,2023-11-01,33.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Misc,3.01E+11,11/1/2023,0.0,33.0,1371.73,2023-11-01,33.0,Credit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.01E+11,11/1/2023,33.0,0.0,1338.73,2023-11-01,33.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.38E+11,11/1/2023,60.0,0.0,1278.73,2023-11-01,60.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.38E+11,11/1/2023,30.0,0.0,1248.73,2023-11-01,30.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Misc,3.38E+11,11/1/2023,305.0,0.0,943.73,2023-11-01,305.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.38E+11,11/1/2023,50.0,0.0,893.73,2023-11-01,50.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
11/1/2023,Food,3.01E+11,11/1/2023,20.0,0.0,873.73,2023-11-01,20.0,Debit,2023,11,November,1,Wednesday,44,2023-11,Regular Month
12/1/2023,Food,3.38E+11,12/1/2023,57.0,0.0,816.73,2023-12-01,57.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
12/1/2023,Food,3.01E+11,12/1/2023,33.0,0.0,783.73,2023-12-01,33.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
12/1/2023,Food,3.38E+11,12/1/2023,10.0,0.0,773.73,2023-12-01,10.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
12/1/2023,Food,3.01E+11,12/1/2023,35.0,0.0,738.73,2023-12-01,35.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
12/1/2023,Food,3.01E+11,12/1/2023,60.0,0.0,678.73,2023-12-01,60.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
12/1/2023,Food,3.38E+11,12/1/2023,30.0,0.0,648.73,2023-12-01,30.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
12/1/2023,Food,3.01E+11,12/1/2023,20.0,0.0,628.73,2023-12-01,20.0,Debit,2023,12,December,1,Friday,48,2023-12,Regular Month
1/2/2023,Food,3.03E+11,1/2/2023,30.0,0.0,11626.97,2023-01-02,30.0,Debit,2023,1,January,2,Monday,1,2023-01,Regular Month
1/2/2023,Food,3.40E+11,1/2/2023,20.0,0.0,11606.97,2023-01-02,20.0,Debit,2023,1,January,2,Monday,1,2023-01,Regular Month
1/2/2023,Food,3.03E+11,1/2/2023,80.0,0.0,11526.97,2023-01-02,80.0,Debit,2023,1,January,2,Monday,1,2023-01,Regular Month
2/2/2023,Rent,3.03E+11,2/2/2023,5776.0,0.0,5750.97,2023-02-02,5776.0,Debit,2023,2,February,2,Thursday,5,2023-02,Regular Month
2/2/2023,Food,3.40E+11,2/2/2023,20.0,0.0,5730.97,2023-02-02,20.0,Debit,2023,2,February,2,Thursday,5,2023-02,Regular Month
2/2/2023,Food,3.03E+11,2/2/2023,144.87,0.0,5586.1,2023-02-02,144.87,Debit,2023,2,February,2,Thursday,5,2023-02,Regular Month
2/2/2023,Food,3.40E+11,2/2/2023,40.0,0.0,5546.1,2023-02-02,40.0,Debit,2023,2,February,2,Thursday,5,2023-02,Regular Month
2/2/2023,Food,3.40E+11,2/2/2023,30.0,0.0,5516.1,2023-02-02,30.0,Debit,2023,2,February,2,Thursday,5,2023-02,Regular Month
2/2/2023,Misc,3.40E+11,2/2/2023,170.0,0.0,5346.1,2023-02-02,170.0,Debit,2023,2,February,2,Thursday,5,2023-02,Regular Month
3/2/2023,Food,3.03E+11,3/2/2023,28.0,0.0,5318.1,2023-03-02,28.0,Debit,2023,3,March,2,Thursday,9,2023-03,Regular Month
3/2/2023,Food,3.40E+11,3/2/2023,50.0,0.0,5268.1,2023-03-02,50.0,Debit,2023,3,March,2,Thursday,9,2023-03,Regular Month
3/2/2023,Misc,3.03E+11,3/2/2023,500.0,0.0,4768.1,2023-03-02,500.0,Debit,2023,3,March,2,Thursday,9,2023-03,Regular Month
3/2/2023,Misc,3.03E+11,3/2/2023,0.0,500.0,5268.1,2023-03-02,500.0,Credit,2023,3,March,2,Thursday,9,2023-03,Regular Month
3/2/2023,Food,3.40E+11,3/2/2023,17.0,0.0,5251.1,2023-03-02,17.0,Debit,2023,3,March,2,Thursday,9,2023-03,Regular Month
3/2/2023,Misc,3.40E+11,3/2/2023,190.0,0.0,5061.1,2023-03-02,190.0,Debit,2023,3,March,2,Thursday,9,2023-03,Regular Month
3/2/2023,Food,3.40E+11,3/2/2023,40.0,0.0,5021.1,2023-03-02,40.0,Debit,2023,3,March,2,Thursday,9,2023-03,Regular Month
4/2/2023,Misc,3.04E+11,4/2/2023,200.0,0.0,4821.1,2023-04-02,200.0,Debit,2023,4,April,2,Sunday,13,2023-04,Regular Month
4/2/2023,Food,3.40E+11,4/2/2023,30.0,0.0,4791.1,2023-04-02,30.0,Debit,2023,4,April,2,Sunday,13,2023-04,Regular Month
4/2/2023,Food,3.04E+11,4/2/2023,40.0,0.0,4751.1,2023-04-02,40.0,Debit,2023,4,April,2,Sunday,13,2023-04,Regular Month
4/2/2023,Misc,3.40E+11,4/2/2023,0.0,152.0,4903.1,2023-04-02,152.0,Credit,2023,4,April,2,Sunday,13,2023-04,Regular Month
4/2/2023,Misc,3.40E+11,4/2/2023,140.0,0.0,4763.1,2023-04-02,140.0,Debit,2023,4,April,2,Sunday,13,2023-04,Regular Month
4/2/2023,Food,3.40E+11,4/2/2023,30.0,0.0,4733.1,2023-04-02,30.0,Debit,2023,4,April,2,Sunday,13,2023-04,Regular Month
4/2/2023,Food,3.40E+11,4/2/2023,40.0,0.0,4693.1,2023-04-02,40.0,Debit,2023,4,April,2,Sunday,13,2023-04,Regular Month
